SH0,RH0,P0,SH1,RH1,P1,SH2,RH2,P2,SH3,RH3,P3,SH4,RH4,P4,OUTPUT
35,136,234,22,143,264,30,131,295,2,103,264,2,103,234,1
35,136,234,22,163,264,30,131,295,2,123,264,2,103,234,0
35,136,234,22,183,264,30,131,295,2,123,264,2,136,234,0
35,136,234,22,143,264,30,145,295,2,103,264,2,103,234,1
35,136,234,22,143,264,30,160,295,2,123,264,2,103,234,1
35,136,234,42,143,264,59,160,295,22,123,264,2,103,234,1
35,136,234,42,143,264,59,160,295,22,123,264,2,103,234,1
35,136,234,42,203,264,59,117,295,22,143,264,2,103,234,0
35,136,234,42,143,264,59,160,295,22,123,264,2,103,234,1
35,136,234,42,143,264,59,160,295,22,123,264,2,103,234,1
35,136,234,42,143,264,59,131,295,22,123,264,2,103,234,1
35,136,234,42,143,264,59,160,295,22,123,264,2,203,234,0
35,136,234,42,143,264,59,145,295,22,123,264,2,103,234,1
35,136,234,42,143,264,59,174,295,22,143,264,2,103,234,1
35,136,234,42,143,264,73,174,295,42,143,264,2,103,234,1
35,136,234,42,143,264,73,203,295,42,143,264,2,103,234,1
35,136,234,42,143,264,102,203,295,42,143,264,2,103,234,1
35,136,234,42,143,264,102,203,295,42,163,264,2,103,234,1
35,136,234,42,143,264,102,203,295,62,163,264,2,103,234,1
35,169,234,42,143,264,102,203,295,62,163,264,2,103,234,1
35,136,234,42,143,264,102,203,295,62,203,264,2,103,234,1
35,136,234,42,143,264,102,203,295,102,203,264,2,103,234,1
35,203,234,42,143,264,102,203,295,102,203,264,2,103,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,131,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,160,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,174,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,188,295,2,103,264,2,136,234,0
35,136,234,42,143,264,102,203,295,42,143,264,35,136,234,1
35,136,234,42,143,264,102,203,295,42,143,264,35,136,234,1
35,136,234,42,143,264,102,203,295,42,143,264,35,136,234,1
35,136,234,42,183,264,102,203,295,42,143,264,35,136,234,1
35,136,234,82,183,264,102,203,295,42,143,264,35,136,234,1
35,136,234,82,183,264,102,203,295,42,203,264,35,136,234,0
35,136,234,82,183,264,102,203,295,42,143,264,35,136,234,1
35,136,234,82,203,264,102,203,295,42,143,264,35,169,234,0
35,136,234,82,183,264,102,203,295,42,143,264,35,136,234,1
35,136,234,82,183,264,102,203,295,42,143,264,35,136,234,1
35,136,234,82,183,264,102,203,295,42,143,264,35,203,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,103,264,2,117,295,2,103,264,2,136,234,0
2,103,234,2,103,264,2,117,295,2,123,264,2,169,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,117,295,2,103,264,2,103,234,1
2,103,234,2,123,264,2,145,295,2,103,264,2,103,234,1
2,103,234,22,123,264,44,145,295,2,103,264,2,103,234,1
2,103,234,22,123,264,44,145,295,2,103,264,2,103,234,1
2,103,234,22,163,264,44,145,295,2,103,264,2,103,234,1
2,103,234,22,163,264,44,174,295,2,103,264,2,103,234,1
2,103,234,62,163,264,73,174,295,2,103,264,2,103,234,1
2,103,234,62,183,264,73,174,295,2,103,264,2,136,234,0
2,103,234,62,203,264,73,174,295,2,123,264,2,136,234,0
2,103,234,2,103,264,2,103,295,2,103,264,2,103,234,1
2,136,234,2,103,264,2,117,295,2,103,264,2,103,234,1
35,136,234,2,103,264,16,117,295,2,103,264,2,103,234,1
35,136,234,2,103,264,16,117,295,2,103,264,2,103,234,1
35,136,234,2,103,264,16,117,295,2,103,264,2,103,234,1
35,169,234,2,103,264,16,131,295,2,103,264,2,103,234,1
35,169,234,2,123,264,16,145,295,2,103,264,2,103,234,1
35,169,234,2,143,264,16,160,295,2,103,264,2,103,234,1
68,169,234,42,143,264,59,131,295,2,103,264,2,103,234,1
68,169,234,42,143,264,59,145,295,2,123,264,2,103,234,0
68,169,234,42,143,264,59,160,295,2,123,264,2,136,234,1
68,169,234,42,143,264,59,160,295,2,143,264,2,103,234,1
68,169,234,42,143,264,59,160,295,42,143,264,2,103,234,1
68,169,234,42,143,264,59,160,295,42,143,264,2,103,234,1
68,169,234,42,143,264,59,188,295,42,143,264,2,103,234,1
68,169,234,42,143,264,87,188,295,42,143,264,2,103,234,1
68,169,234,42,143,264,87,188,295,42,143,264,2,103,234,1
