Stop Height,Runner Height,Free Runner,Score Diff
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.012500
0.857143,0.857143,1.000000,0.012500
1.000000,1.000000,1.000000,0.000000
0.285714,0.285714,1.000000,0.012500
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.080000
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.080000
0.285714,0.285714,1.000000,0.080000
0.666667,0.666667,1.000000,0.065789
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.065789
0.285714,0.285714,1.000000,0.065789
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.025316
0.857143,0.857143,1.000000,0.025316
0.800000,0.800000,1.000000,0.025316
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.857143,0.857143,1.000000,0.065789
0.800000,0.800000,1.000000,0.065789
0.285714,0.285714,1.000000,0.065789
0.666667,0.666667,1.000000,0.079822
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.600000,0.600000,1.000000,0.013167
0.285714,0.285714,1.000000,0.079822
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.090773
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.090773
0.142857,0.142857,1.000000,0.009975
0.666667,0.666667,1.000000,0.069263
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.069263
0.142857,0.142857,1.000000,0.003259
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.084284
1.000000,1.000000,1.000000,0.000000
0.600000,0.600000,1.000000,0.003966
0.285714,0.285714,1.000000,0.084284
0.666667,0.666667,1.000000,0.078048
0.800000,0.800000,1.000000,0.078048
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.142857,0.142857,1.000000,0.011502
0.666667,0.666667,1.000000,-0.038766
0.800000,0.800000,1.000000,-0.025949
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,-0.025949
0.285714,0.285714,1.000000,-0.038766
1.000000,1.000000,1.000000,0.000000
0.600000,0.600000,1.000000,0.007964
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.088601
0.285714,0.285714,1.000000,0.088601
1.000000,1.000000,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.857143,0.857143,1.000000,0.065789
0.800000,0.800000,1.000000,0.065789
0.142857,0.142857,1.000000,0.000000
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.013125
0.857143,0.857143,1.000000,0.013125
1.000000,1.000000,1.000000,0.000000
0.142857,0.142857,1.000000,0.000618
0.666667,0.666667,1.000000,-0.054378
1.000000,1.000000,1.000000,0.000000
0.857143,0.857143,1.000000,-0.054378
0.800000,0.800000,1.000000,0.007834
0.285714,0.285714,1.000000,-0.004608
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,-0.036016
0.857143,0.857143,1.000000,-0.048700
0.800000,0.800000,1.000000,0.014720
0.285714,0.285714,1.000000,0.002036
1.000000,1.000000,1.000000,0.000000
0.800000,0.800000,1.000000,0.026600
0.857143,0.857143,1.000000,0.026600
